Date,Death_Rate
Apr-20,3.71260084
May-20,4.304657988
Jun-20,4.020624197
Jul-20,3.260089824
Aug-20,2.857066575
Sep-20,2.708427606
Oct-20,2.480754936
Nov-20,2.045909912
Dec-20,1.717445732
Jan-21,1.630789543
Feb-21,1.672247045
Mar-21,1.696569628
Apr-21,1.661996617
May-21,1.639730545
Jun-21,1.650411494
Jul-21,1.644730299
Aug-21,1.573338474
Sep-21,1.500454912
Oct-21,1.499465748
Nov-21,1.503657933
Dec-21,1.474069511
Jan-22,1.249373289
Feb-22,1.141578875
Mar-22,1.164860349
Apr-22,1.177088688
May-22,1.167950537
Jun-22,1.152593155